['-0.45700105558459914', '-1.4196493999482918', '-1.3957863599120788', '-0.588951415674381', '-0.535538719197973', '-0.6778230148678025', '-0.7963836282713427', '-0.563455535273792', '-0.7009330252630429', '-0.4162367619284325', '-0.36724316221144465', '-0.011168382979101603', '-0.3021266962091128', '-0.10694925338029862', '-0.08289901146458255', '0.039404816064569685', '0.0370897858714064', '-0.20582277104258537', '-0.02558978336552779', '-0.17927512774864832']
['-0.4926551140426811', '-1.4935095475410733', '-1.382552394743232', '-0.6024193079097544', '-0.5321102169846639', '-0.7438205060963987', '-0.7553108232385489', '-0.5122871415289464', '-0.5832771103223315', '-0.3906765080539007', '-0.6341075749033027', '-0.16956862879296145', '-0.4208072279062536', '-0.08684674700101216', '-0.13413934061924618', '-0.037419886762897175', '0.0479798786342144', '-0.10857255160808564', '-0.08977808703978857', '-0.2090851719180743']
['-0.351264526632581', '-1.4565206870673049', '-1.3778155122397626', '-0.6407345860012885', '-0.4725576750105263', '-0.8409478172017579', '-0.865458614600902', '-0.6236420553496905', '-0.5288673184859374', '-0.35235989081481145', '-0.6189918999507944', '-0.2704774395045307', '-0.2565063906212648', '-0.13871063619024224', '-0.020220782318049003', '-0.04383625810345014', '-0.41816337150004174', '0.2153910666704178', '-0.10015389720598857', '-0.14517534958819547']
['-0.4268548266940559', '-1.5699684257488347', '-1.2854769926516367', '-0.5662638853826005', '-0.5051377014009288', '-0.873545858275303', '-0.8808199285788993', '-0.59151290192254', '-0.751518934952716', '-0.3925878732982609', '-0.604881307654201', '-0.4491322380428513', '-0.415031962113248', '0.019385343997014894', '-0.035832242419322334', '0.1261469593892495', '0.08951139056848155', '0.0740036778151989', '-0.09986812472343445', '-0.16056736086805662']
['-0.529105092737594', '-1.5652628100327974', '-1.289680293846288', '-0.7423162648659505', '-0.3386717031637368', '-0.8949240465568644', '-0.6302878613517562', '-0.5491810649302271', '-0.7543388025959332', '-0.384775752292739', '-0.39466490033600066', '-0.25636178964660283', '-0.385471709486511', '0.07962334708621105', '-0.19021957715352375', '0.3539180104103353', '0.2991391905479961', '0.03129014977150493', '0.10200956302384535', '-0.13455746173858643']
['-0.36209588329909725', '-1.591128544217406', '-1.3316369563511599', '-0.742102255163467', '-0.45368922512237725', '-0.7148179595596181', '-0.6119546702586942', '-0.5249805180045466', '-0.7607272780838388', '-0.4224352555245989', '-0.3526871115962664', '-0.4460186760769122', '-0.4719302805347575', '-0.20070405755605963', '0.14754065805011327', '0.25059786380992993', '0.13694726253549258', '-0.09940149821341038', '0.026046380400657654', '0.011990456283092499']
['-0.4854362224628669', '-1.5732834597364733', '-1.2782021265453933', '-0.8098334923715196', '-0.4759014631995192', '-0.7057858636912214', '-0.5777497477666106', '-0.6397218727491915', '-0.6652901834415065', '-0.4552087466625704', '-0.2612444763071835', '-0.5872586150136259', '-0.3893482408589787', '-0.29440698996186254', '-0.1174116207824813', '0.06306928793589274', '0.0930264137685299', '-0.19198789273699124', '0.07901298801104227', '-0.047913119693597156']
['-0.3979375939856192', '-1.5796550733276693', '-1.248253821448474', '-0.9309045126501441', '-0.3919719484220568', '-0.5571884031274489', '-0.5253846361049052', '-0.570841061928206', '-0.4776990721747279', '-0.46985866026745904', '-0.3280495756202274', '-0.4559016055131603', '-0.37988172682623067', '-0.18547688184512987', '-0.14991660051875644', '-0.49066824946138593', '0.09991341307759286', '-0.12961543587346872', '-0.10794931519776582', '-0.19634335736433664']
['-0.4342942516192219', '-1.6093720342342674', '-1.3538475833631596', '-0.9277884626990276', '-0.47143712228053025', '-0.6958845857608442', '-0.5325774593146644', '-0.4847823669926988', '-0.5908334023629626', '-0.5785266128513548', '-0.24570273330169065', '-0.40632538286348185', '-0.5698442090716627', '-0.17539129389656916', '-0.04406240458289782', '-0.2922118032558097', '0.2677148275077343', '-0.028334877515832583', '0.27952080555260184', '-0.08153974629110759']
['-0.3592195620261722', '-1.6217063598924308', '-1.3891822573798998', '-0.940304652182028', '-0.4591615482939923', '-0.6624933611282281', '-0.6669811090353822', '-0.4296178985213276', '-0.6291799334188303', '-0.5225366330477926', '-0.024936741756068335', '-0.23887023329734802', '-0.5173966470691893', '-0.3128484306236108', '0.1836584531598621', '0.2507974997990661', '0.11482411151130995', '0.14175614106158416', '0.007057236259182294', '0.03319202760855357']
['-0.35819885369959126', '-1.5986956838034223', '-1.436702531646264', '-0.8501817749813132', '-0.5520912845318405', '-0.5991636545418161', '-0.5971797207564057', '-0.5893905007389802', '-0.7855471092710893', '-0.5602847230724163', '-0.042435901094641945', '-0.14872516319155693', '-0.5209291532635689', '-0.22179814328749975', '0.09717550749580064', '0.11063900440931321', '0.27018212924400964', '-0.1072994378498859', '-0.19627151787281036', '-0.14349162876605986']
['-0.468693926807573', '-1.6471695540415612', '-1.4415713112030057', '-0.8547949202965572', '-0.6337910664062247', '-0.5732028754442169', '-0.5469558876100361', '-0.5419643868458649', '-0.7021823447673685', '-0.6848361965446245', '0.02137425036893951', '-0.35365928658949475', '-0.3882401417113013', '-0.09386706622110473', '0.09420425494511922', '0.2333398410015636', '0.0686382153795825', '0.17245835595660738', '-0.010961982732017836', '-0.20124710963832007']
['-0.45182582079981004', '-1.6609972858988886', '-1.5157462828859218', '-0.9263733839258895', '-0.7424602302921273', '-0.5558463582658257', '-0.48864190223756143', '-0.5325860880528632', '-0.5707167667895555', '-0.5784120614578326', '0.0964190332012044', '-0.1885908085356156', '-0.30911640578673943', '-0.0754462314148744', '0.40653609794874984', '0.3612625860919555', '0.2167906458179156', '0.21056416407227516', '0.0024091375370820364', '-0.14794295330842336']
['-0.47521960323648016', '-1.6546828358767076', '-1.438510221458758', '-0.8538932896885023', '-0.6195819161820909', '-0.4932496051277433', '-0.6655639302602733', '-0.5764520937369929', '-0.6377196074596473', '-0.5798618519885672', '-0.16628233575986492', '0.08158110625214048', '-0.38187327310442926', '-0.2010971123914397', '0.38593439848886596', '0.34205789069334663', '0.25987308596571285', '0.0631786622107029', '0.15848066443577408', '-0.395969052405821']
['-0.4496715448470481', '-1.5769285346360127', '-1.4679814861208504', '-0.7691728978996133', '-0.6108850012966822', '-0.5679133109737071', '-0.5356359472244032', '-0.5988713377155364', '-0.600110320676532', '-0.5525185855726401', '-0.37325231755773225', '-0.0890024087495274', '-0.11007581711643272', '-0.14113337116109', '0.3279924621184667', '0.352510594493813', '0.0506058931350708', '0.2906345699603359', '0.3731489634141326', '-0.025031641808648905']
['-0.5085695552345192', '-1.6156108394679516', '-1.4074027430146892', '-0.7717684044291813', '-0.6699403799879586', '-0.6645334107658876', '-0.5720185332799896', '-0.5105609821776094', '-0.6623787695179797', '-0.4361885667509503', '-0.4523883909732103', '-0.15435670357611445', '-0.422153412633472', '-0.17679212246504095', '0.33455908762084113', '0.3630547652641932', '0.2995459834734599', '0.36875925313458235', '0.25782726794481275', '0.04373416217664878']
['-0.409144720360494', '-1.621171434703543', '-1.3310184799423561', '-0.810386558731898', '-0.583353472852282', '-0.7744368508970643', '-0.5141734545639834', '-0.5793414210942056', '-0.6831002910052323', '-0.5311808859556914', '-0.5722243058847056', '-0.18398948502209453', '-0.30646208332230646', '-0.04400455620553759', '0.32797857959651283', '0.2775834299623966', '0.25360658317804335', '0.15751517597171996', '0.22977527727683386', '-0.0697107819840312']
['-0.3617653262880599', '-1.6203550082433693', '-1.415462180943645', '-0.7916589170562718', '-0.5320995834730812', '-0.6999973821949924', '-0.5074507298895586', '-0.49184208969689075', '-0.7281963911486997', '-0.6419588734468238', '-0.4871315480984421', '-0.008654347124199074', '-0.26703110709786415', '0.0035211969580915214', '0.3660595362385114', '0.36003644350502223', '0.31910687560836476', '0.32721101144949594', '0.036751590834723576', '0.05742721458276113']
['-0.25260120387131507', '-1.632821851673756', '-1.3384931809851486', '-0.83002348638874', '-0.5321740605487537', '-0.7160307169285303', '-0.30801628694915156', '-0.5767981750501823', '-0.8366755861629332', '-0.6771096897490875', '-0.3550003095186271', '0.0936395032538308', '-0.18701636443535485', '-0.08859507006312174', '0.11314450773513979', '0.29834859267705016', '0.27125398938854534', '0.24506495296955108', '0.1303560624519984', '-0.1617548421025276']
['-0.25497182211375763', '-1.6197128837751247', '-1.2964096165146033', '-0.8809710413052798', '-0.5777516080592638', '-0.7816881646850163', '-0.29290981082822243', '-0.5557755111347116', '-0.7674003930796276', '-0.6742266175641664', '-0.34211690084180896', '0.2736360817009376', '-0.2657553066809972', '0.08526642103162077', '0.2632424466725853', '0.3205912671983242', '-0.22530657996733983', '0.4451484255492687', '0.05327596465746562', '0.035194306075572966']
['-0.28397140445588376', '-1.6252407582744595', '-1.3374858063184947', '-0.9009288830499277', '-0.5028625245307204', '-0.8492589215971726', '-0.39496360536116526', '-0.46701330527308443', '-0.7236882952149346', '-0.6390536260817732', '-0.24537852955361208', '0.27037857174873353', '-0.1861184321343899', '-0.005257033748138284', '0.10318850802076567', '0.24833712581959036', '-0.24928181034823257', '0.23043505946795145', '0.000687930981318156', '-0.05033578425645828']
['-0.23971280079897345', '-1.6122495732749176', '-1.2782612884058888', '-0.842498169973362', '-0.5172622076711928', '-0.720021415423385', '-0.40813140548152915', '-0.3379417925183144', '-0.6530832502825393', '-0.7586162253599318', '-0.4391774521105819', '0.24863042987055248', '-0.2338738210913208', '-0.01905900736649831', '0.13812076140816013', '0.2135637119412422', '0.1723157267189688', '0.16925791800022125', '0.22587512731552123', '-0.08419881810744603']
['-0.43700059696030946', '-1.6214928615381876', '-1.3524715228219255', '-0.908655946661863', '-0.49881026669408396', '-0.6376097040544584', '-0.4033933734735622', '-0.5178677966188518', '-0.573057698994461', '-0.6041356095174948', '-0.4868286528935035', '0.27548884713453137', '-0.32494685866921724', '-0.6241397024028831', '0.14750536953409513', '0.16509559071726268', '0.08676084329684576', '0.10270384032693174', '0.31465072532494864', '-0.0530344904296928']
['-0.3608395571733943', '-1.6265372885762648', '-1.325203310110997', '-0.9455778537786617', '-0.5906332386218529', '-0.7029028874281893', '-0.3257274240775714', '-0.35550062837463525', '-0.7380757267400623', '-0.6518591173821026', '-0.33466906289673515', '0.35476429793569775', '-0.21568188874257935', '-0.3576870230336984', '0.00040962327685621175', '0.1545066027591626', '0.20459918669528432', '0.1934902012348175', '0.08633317649364472', '-0.18605280444025993']
['-0.28354311289059575', '-1.6284793081650888', '-1.3617929360521386', '-0.9381210408495476', '-0.6080842655481814', '-0.6793262615673756', '-0.2444593027691796', '-0.5034998434642329', '-0.8539339834948787', '-0.6268218450910515', '-0.3738083485632189', '0.28053244451681775', '-0.16830870914790366', '-0.5480238758027554', '0.14281170475814078', '0.29135270598861907', '-0.20708489567041397', '0.13667944214410252', '0.2952640573183695', '-0.28512361496686933']
['-0.25119870230334446', '-1.623258788419499', '-1.4030290157872378', '-1.004217132457611', '-0.5824815486794386', '-0.7274566165159793', '-0.21453020513811635', '-0.513146560471893', '-0.7465599303692579', '-0.6792636177854405', '-0.324164020344615', '0.35409382093283864', '0.042060692542129095', '-0.6476851806044579', '0.14894998520612718', '0.2308945662031571', '-0.15447887778282166', '0.19515639344851177', '0.16125222546979784', '0.06850274056196212']
['-0.15754066302565314', '-1.633400574824162', '-1.3864630265710567', '-1.0524516661619736', '-0.5911508795561227', '-0.803501918527704', '-0.2648008892649696', '-0.5124625760016325', '-0.6299034076308211', '-0.6155706368097', '-0.40605859203885', '0.40754424333572387', '0.056542897886700104', '-0.17888401018248665', '0.105943822943502', '0.2128605439638098', '-0.30799296920498215', '0.13701230121983424', '0.15264218234353594', '-0.16400735866692331']
['-0.1163551590894654', '-1.6548500703948767', '-1.4001603021151807', '-0.9487418800115811', '-0.575341292209044', '-0.8107289220411116', '-0.19525197723052568', '-0.5329914128325052', '-0.5921460805709163', '-0.5935784190727604', '-0.4776708623042537', '0.31565141793754364', '-0.1417449840832324', '-0.2074378737145', '0.17170682408743435', '0.28355694487690924', '-0.26774656313161055', '0.05757498823934131', '0.07896804908911387', '-0.2563055028518041']
['-0.1170387617772461', '-1.6447247630021378', '-1.3473521245892954', '-0.9484871599881213', '-0.5507228250741356', '-0.7526574693885849', '-0.22083308802074975', '-0.4789839859656428', '-0.5991823716958364', '-0.696592159267101', '-0.552291425972901', '0.2849945141623418', '-0.01839027918047375', '-0.2207818518082301', '-0.006543839226166407', '0.2848261516955164', '-0.11093926173117426', '0.22342419400811195', '0.05495020424326261', '-0.31610448751598597']
['-0.0732215521343721', '-1.6624843137652885', '-1.372112324132076', '-0.9697462627338423', '-0.5605162617819918', '-0.8036225568605636', '-0.2130209431737395', '-0.45520489608543735', '-0.5710299387284451', '-0.8477026845183637', '-0.5033969740569592', '0.13330717600054212', '-0.05087729079855813', '-0.1845634650852945', '0.05887815819846259', '0.1493194689353307', '0.22981018556488886', '0.04063291698694229', '0.12729580654866166', '-0.027190304019798835']
['-0.15461111620200912', '-1.6438396606579875', '-1.318416117922228', '-0.9540919293791442', '-0.4812037081683746', '-0.907732177932387', '-0.19474932289711447', '-0.4221409246458539', '-0.5196902652209003', '-0.6540553757004322', '-0.43094757553988267', '0.07784351379507118', '0.025601008865568372', '-0.20761577486991883', '0.059071036924918496', '0.1344619597411818', '0.14043036277095478', '0.1596749305104216', '0.23614894813961454', '-0.17504558847285806']
['-0.08651336681060116', '-1.6289407739827302', '-1.3547581362002707', '-0.8888743156833507', '-0.46990906978567226', '-0.9194135975759179', '-0.24861328802110175', '-0.4653126001885874', '-0.5438706006762581', '-0.7748271254532867', '-0.4264292814665371', '0.296045666684707', '-0.023568509436315957', '-0.37743962821033267', '-0.04369526911112997', '0.2618315332258741', '0.24279286960760751', '0.2512163606782754', '0.22521871270404922', '-0.24109759978536102']
['-0.1267176704770989', '-1.648555195297252', '-1.3536892411615193', '-0.8506409306071985', '-0.44179916068748964', '-0.9391949304873738', '-0.22952872632221893', '-0.3498751070551456', '-0.5644515907549893', '-0.7500609647482633', '-0.34370708422114454', '0.2304686828205983', '-0.15098545564309', '-0.3486642597036229', '0.045195716743667916', '0.33985154864688716', '0.14139788548151652', '0.23293954345087212', '0.08358750243981679', '-0.1666253562602732']
['-0.09591385645052744', '-1.6362017675448108', '-1.4029831097440395', '-0.8713704731368073', '-0.4561605901816929', '-0.864647807155834', '-0.2574935294030178', '-0.31482465869850584', '-0.5264642133829849', '-0.8633083940131797', '-0.3601103354245424', '0.10819311330301894', '-0.034677742949376505', '-0.14228606944282848', '0.027022095148762065', '0.4314144153147936', '0.20976628619763588', '0.4034296873336037', '-0.031635746359825134', '-0.13879796974360942']
['-0.05961637760352607', '-1.6351187737238686', '-1.3786751567023476', '-0.799597608431573', '-0.42870692447267317', '-0.9797227979262196', '-0.2839401473449888', '-0.48119414966376056', '-0.657590910533262', '-0.8572260006694566', '-0.3248894844618108', '0.11023856656300643', '-0.07572693162494236', '-0.018154540409644447', '-0.12899325489997865', '0.24380899535285103', '-0.0503468382689688', '0.3239004420737425', '0.03675519327322642', '0.021698112413287163']
['-0.07319951785935296', '-1.6192444030215003', '-1.36260672929498', '-0.8198848470525243', '-0.46852843783079295', '-0.9902648901161811', '-0.3561482868020518', '-0.3393710788091024', '-0.5715605057362053', '-0.9328274230327871', '-0.3456797722313139', '0.011613214843802988', '-0.03677979740831587', '-0.18588059577676985', '-0.023098685178491805', '0.40669206343591213', '0.09204628057777882', '0.43943940481791893', '0.10846705039342244', '-0.03417242897881402']
['-0.09004170856382442', '-1.630800058180112', '-1.306641750840741', '-0.8451268390415428', '-0.45400901816293887', '-0.9667874940945836', '-0.3913258224587839', '-0.34829853391836557', '-0.5041148836000098', '-1.0150151626103454', '-0.3720574256363842', '0.1337490843402015', '-0.08452874577293794', '-0.03711490320662657', '0.04808291171987851', '0.2751458201971319', '0.10958702423506313', '0.41013909243047236', '0.06318260176728169', '-0.2264796251224147']
